"","ID","key_press","trial_type","trial_index","control_level","correct","confidence_level","test_part","staircase","reverse","staircaseA","staircaseB","average_thre"
"2205",46,66,"dot-motion",121,0.0400038,1,4,"stimulus",0,NA,0,0,0
"2206",14,65,"dot-motion",149,0.0030033,NA,4,"stimulus",1,1,0,0,0
"2207",49,65,"dot-motion",47,0,NA,2,"stimulus",1,1,0,0,0
"2208",85,66,"dot-motion",121,0.007503,1,3,"stimulus",1,NA,0,0,0
"2209",93,65,"dot-motion",157,0.25,1,4,"catch trial",0,NA,0,0,0
"2210",54,66,"dot-motion",111,0.014003,1,2,"stimulus",1,NA,0,0,0
"2211",5,65,"dot-motion",29,0.0350015,NA,1,"stimulus",1,NA,0,0,0
"2212",16,65,"dot-motion",123,0.010503,1,3,"stimulus",0,NA,0,0,0
"2213",18,65,"dot-motion",63,1.50015e-06,NA,1,"stimulus",0,1,0,0,0
"2214",92,65,"dot-motion",187,0.25,1,4,"catch trial",0,NA,0,0,0
"2215",71,65,"dot-motion",275,0.00050135,1,1,"stimulus",1,NA,0,0,0
"2216",82,65,"dot-motion",225,0.0750063,NA,3,"stimulus",0,NA,0,0,0
"2217",33,66,"dot-motion",245,0.0035096,NA,2,"stimulus",0,1,0,0,0
"2218",41,65,"dot-motion",125,0.0851093,NA,3,"stimulus",0,1,0,0,0
"2219",41,NA,"score trial",0,0,NA,0,"score trial",0,NA,0.082829,0.0827277,0.0827783
"2220",46,65,"dot-motion",123,0.0625045,NA,4,"stimulus",1,NA,0,0,0
"2221",12,66,"dot-motion",143,0.25,1,4,"catch trial",0,NA,0,0,0
"2222",14,65,"dot-motion",151,0,NA,4,"stimulus",0,1,0,0,0
"2223",49,65,"dot-motion",49,0.0150015,1,4,"stimulus",1,1,0,0,0
"2224",85,65,"dot-motion",123,0.005003,1,2,"stimulus",1,NA,0,0,0
"2225",90,65,"dot-motion",143,0.25,1,3,"catch trial",0,NA,0,0,0
"2226",54,65,"dot-motion",113,0.013003,1,2,"stimulus",1,NA,0,0,0
"2227",93,66,"dot-motion",159,0.0060036,NA,1,"stimulus",0,NA,0,0,0
"2228",46,65,"dot-motion",125,0.0375037,1,4,"stimulus",0,NA,0,0,0
"2229",18,65,"dot-motion",65,0.25,1,4,"catch trial",0,NA,0,0,0
"2230",5,65,"dot-motion",31,0.0400015,NA,2,"stimulus",0,NA,0,0,0
"2231",16,65,"dot-motion",125,0.0050033,1,3,"stimulus",1,NA,0,0,0
"2232",92,65,"dot-motion",189,0.0030057,1,1,"stimulus",0,NA,0,0,0
"2233",71,65,"dot-motion",277,0,NA,2,"stimulus",1,1,0,0,0
"2234",33,65,"dot-motion",247,0.0065099,1,3,"stimulus",0,1,0,0,0
"2235",14,65,"dot-motion",153,0.0030003,1,4,"stimulus",0,1,0,0,0
"2236",49,65,"dot-motion",51,0.0125015,1,4,"stimulus",1,NA,0,0,0
"2237",90,65,"dot-motion",145,0.0425038,1,3,"stimulus",1,1,0,0,0
"2238",17,66,"dot-motion",43,0.025,1,2,"stimulus",0,NA,0,0,0
"2239",12,65,"dot-motion",145,0.0615053,NA,3,"stimulus",1,1,0,0,0
"2240",85,66,"dot-motion",125,0.0125013,1,1,"stimulus",0,1,0,0,0
"2241",46,66,"dot-motion",127,0.0350038,NA,4,"stimulus",0,1,0,0,0
"2242",54,65,"dot-motion",115,0.0215041,1,3,"stimulus",0,NA,0,0,0
"2243",93,66,"dot-motion",161,0.0090039,1,4,"stimulus",0,1,0,0,0
"2244",5,66,"dot-motion",33,0.050003,1,3,"stimulus",1,1,0,0,0
"2245",92,66,"dot-motion",191,0.0115024,1,4,"stimulus",1,NA,0,0,0
"2246",71,66,"dot-motion",279,0.0030003,NA,1,"stimulus",1,NA,0,0,0
"2247",14,65,"dot-motion",155,0.0020003,NA,4,"stimulus",0,1,0,0,0
"2248",82,65,"dot-motion",227,0.0660072,1,3,"stimulus",1,NA,0,0,0
"2249",33,65,"dot-motion",249,0.0063099,1,3,"stimulus",0,NA,0,0,0
"2250",45,65,"dot-motion",24,0.025,NA,2,"stimulus",1,NA,0,0,0
"2251",17,66,"dot-motion",45,0.025,1,1,"stimulus",1,NA,0,0,0
"2252",16,65,"dot-motion",127,0.0040033,1,2,"stimulus",1,NA,0,0,0
"2253",49,66,"dot-motion",53,0.0100015,1,4,"stimulus",1,NA,0,0,0
"2254",46,65,"dot-motion",129,0.0425045,1,4,"stimulus",0,1,0,0,0
"2255",90,65,"dot-motion",147,0.0415037,NA,3,"stimulus",1,1,0,0,0
"2256",85,66,"dot-motion",127,0.0115014,1,4,"stimulus",0,NA,0,0,0
"2257",18,65,"dot-motion",67,0.00750225,1,2,"stimulus",0,1,0,0,0
"2258",93,66,"dot-motion",163,0.0080039,1,4,"stimulus",0,NA,0,0,0
"2259",54,66,"dot-motion",117,0.012003,1,1,"stimulus",1,NA,0,0,0
"2260",5,65,"dot-motion",35,0.047503,1,2,"stimulus",1,NA,0,0,0
"2261",92,66,"dot-motion",193,0.0020057,1,1,"stimulus",0,NA,0,0,0
"2262",12,66,"dot-motion",147,0.25,NA,3,"catch trial",0,NA,0,0,0
"2263",82,65,"dot-motion",229,0.0780066,NA,3,"stimulus",0,NA,0,0,0
"2264",71,65,"dot-motion",281,0.0060006,NA,2,"stimulus",1,NA,0,0,0
"2265",14,66,"dot-motion",157,0.0060036,1,4,"stimulus",1,1,0,0,0
"2266",33,66,"dot-motion",251,0.0061099,1,2,"stimulus",0,NA,0,0,0
"2267",46,65,"dot-motion",131,0.0700053,1,4,"stimulus",1,1,0,0,0
"2268",45,65,"dot-motion",26,0.025,NA,2,"stimulus",0,NA,0,0,0
"2269",17,66,"dot-motion",47,0.02,NA,2,"stimulus",0,1,0,0,0
"2270",49,66,"dot-motion",55,0.0075015,1,4,"stimulus",1,NA,0,0,0
"2271",16,66,"dot-motion",129,0.009503,1,2,"stimulus",0,NA,0,0,0
"2272",85,65,"dot-motion",129,0.0105014,1,4,"stimulus",0,NA,0,0,0
"2273",90,66,"dot-motion",149,0.0585073,1,3,"stimulus",0,1,0,0,0
"2274",5,66,"dot-motion",37,0.055003,1,1,"stimulus",0,1,0,0,0
"2275",82,65,"dot-motion",231,0.0650072,1,3,"stimulus",1,NA,0,0,0
"2276",18,66,"dot-motion",69,0.00500225,1,3,"stimulus",0,NA,0,0,0
"2277",93,65,"dot-motion",165,0.0070039,1,2,"stimulus",0,NA,0,0,0
"2278",71,66,"dot-motion",283,0.0090009,1,4,"stimulus",1,1,0,0,0
"2279",14,66,"dot-motion",159,0.0050006,1,4,"stimulus",0,1,0,0,0
"2280",54,66,"dot-motion",119,0.020504,1,3,"stimulus",0,NA,0,0,0
"2281",46,66,"dot-motion",133,0.0675052,1,4,"stimulus",1,NA,0,0,0
"2282",92,65,"dot-motion",195,0.0010057,1,2,"stimulus",0,NA,0,0,0
"2283",33,66,"dot-motion",253,0.0059099,1,3,"stimulus",0,NA,0,0,0
"2284",17,66,"dot-motion",49,0.02,NA,1,"stimulus",1,1,0,0,0
